id,monthly_revenue,customer_id,sales_rep_id,signature_date,opportunity_status,contract_meeting_target,contract_term,recurring,go_live,opt_out,guarantee,go_live_deadline,go_live_month_days,go_live_active_days,opt_out_eligibility,contract_end_date
20001,5000.00,10001,101,2024-10-20,"closed won",60,12,1,30,1,1,2024-11-19,30,12,2025-05-19,2025-11-18
20002,2500.00,10003,102,2025-02-25,"closed won",30,6,1,30,0,0,2025-03-27,31,5,2025-06-27,2025-09-26
20003,15000.00,10004,101,2024-06-25,"closed won",NULL,NULL,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL
20004,7500.00,10005,103,2024-11-10,"closed won",90,18,1,30,1,1,2024-12-10,31,22,2025-09-10,2026-06-09
20005,10000.00,10007,102,2024-12-15,"closed won",60,12,1,30,1,1,2025-01-14,31,18,2025-07-14,2026-01-13
20006,20000.00,10009,104,2025-03-30,"closed won",NULL,NULL,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL
20007,3000.00,10010,101,2025-04-03,"closed won",30,6,1,30,0,0,2025-05-03,31,29,2025-08-03,2025-11-02
20008,5500.00,10011,104,2025-04-07,"closed won",60,12,1,30,1,1,2025-05-07,31,25,2025-11-07,2026-05-06
20009,5000.00,10001,101,2025-10-20,"closed won",60,12,1,30,1,1,2025-11-19,30,12,2026-05-19,2026-11-18
20010,4000.00,10003,102,2025-08-28,"closed won",30,12,1,30,0,0,2025-09-27,30,4,2026-03-27,2026-09-26
20011,1500.00,10010,101,2025-07-05,"closed won",30,12,1,30,0,0,2025-08-04,31,28,2026-02-04,2026-08-03
