id,customer_id,contract_signature_date,sales_rep_id,monthly_recurring_revenue,contract_term,contract_guarantee
1,1,2025-07-29,,1500.00,12,false
2,2,2025-11-23,,1500.00,6,false
3,3,2025-11-21,,1500.00,12,true
4,4,2025-06-09,,1500.00,6,false
5,5,2025-09-13,,3000.00,18,false
6,6,2025-03-13,,1500.00,6,false
7,7,2026-03-11,,1500.00,6,false
8,8,2025-06-03,,1500.00,12,true
9,9,2025-02-26,,1500.00,12,true
10,10,2026-02-16,,1500.00,6,false
11,11,2025-12-02,,1500.00,6,true
12,12,2025-05-23,,1500.00,6,false
13,13,2025-12-12,,1500.00,6,true
14,14,2025-01-31,,1500.00,6,true
15,15,2025-11-25,,1500.00,6,true
16,16,2025-01-19,,1500.00,12,true
17,17,2025-10-25,,3000.00,6,true
18,18,2025-11-16,,1500.00,6,false
19,19,2026-03-14,,1500.00,6,true
20,20,2025-10-16,,1500.00,6,false
21,21,2025-10-25,,1500.00,6,true
22,22,2025-11-16,,3000.00,6,false
23,23,2025-11-07,,1500.00,12,true
24,24,2026-03-09,,3000.00,6,false
25,25,2025-04-06,,1500.00,12,true
26,26,2025-12-24,,1500.00,12,true
27,27,2025-09-03,,1500.00,12,false
28,28,2025-12-23,,3000.00,6,false
29,29,2025-03-08,,3000.00,18,true
30,30,2025-12-03,,1500.00,6,true
31,31,2025-09-03,,3000.00,6,false
32,32,2025-10-13,,1500.00,12,false
33,33,2026-02-08,,3000.00,18,true
34,34,2026-02-22,,1500.00,6,false
35,35,2025-01-30,,3000.00,6,false
36,36,2026-03-07,,3000.00,6,true
37,37,2025-08-27,,3000.00,6,true
38,38,2025-05-13,,1500.00,6,true
39,39,2025-07-20,,1500.00,12,false
40,40,2025-07-01,,1500.00,12,true
41,41,2026-03-28,,1500.00,12,true
42,42,2026-01-26,,1500.00,6,true
43,43,2025-05-03,,1500.00,6,true
44,44,2025-11-07,,1500.00,12,true
45,45,2025-03-16,,1500.00,12,true
46,46,2025-01-29,,3000.00,6,false
47,47,2025-01-17,,1500.00,6,false
48,48,2025-05-19,,1500.00,12,false
49,49,2025-10-10,,1500.00,12,true
50,50,2025-12-02,,1500.00,6,false
51,51,2025-10-19,,3000.00,6,false
52,52,2025-10-26,,1500.00,12,true
53,53,2025-04-13,,1500.00,6,true
54,54,2026-02-14,,4500.00,12,false
55,55,2025-01-11,,1500.00,12,true
56,56,2026-03-02,,1500.00,6,false
57,57,2025-07-31,,1500.00,18,false
58,58,2025-02-28,,1500.00,6,false
59,59,2025-01-18,,1500.00,12,true
60,60,2026-03-14,,1500.00,12,false
61,61,2026-03-10,,1500.00,18,false
62,62,2026-01-28,,3000.00,6,false
63,63,2025-01-05,,4500.00,18,false
64,64,2025-06-13,,3000.00,6,false
65,65,2025-05-31,,1500.00,6,false
66,66,2025-01-21,,3000.00,12,true
67,67,2025-12-07,,4500.00,18,true
68,68,2025-01-13,,1500.00,6,false
69,69,2026-01-18,,1500.00,12,false
70,70,2026-02-08,,1500.00,12,false
71,71,2026-03-07,,3000.00,12,true
72,72,2025-02-01,,3000.00,6,true
73,73,2025-07-18,,1500.00,18,true
74,74,2025-08-24,,1500.00,12,true
75,75,2025-09-26,,3000.00,6,true
76,76,2025-08-06,,4500.00,12,true
77,77,2025-10-04,,1500.00,18,false
78,78,2025-06-11,,3000.00,12,false
79,79,2025-02-08,,3000.00,6,false
80,80,2025-06-16,,1500.00,6,false
81,81,2025-09-23,,1500.00,6,true
82,82,2025-04-17,,4500.00,6,false
83,83,2025-08-02,,1500.00,12,false
84,84,2025-11-29,,1500.00,6,false
85,85,2025-10-28,,1500.00,12,true
86,86,2025-09-29,,1500.00,6,false
87,87,2025-05-25,,4500.00,12,false
88,88,2025-01-17,,1500.00,12,false
89,89,2025-08-27,,4500.00,6,false
90,90,2025-03-04,,3000.00,6,false
91,91,2025-12-01,,1500.00,6,true
92,92,2025-02-23,,4500.00,18,true
93,93,2025-09-12,,1500.00,18,false
94,94,2026-01-03,,1500.00,6,true
95,95,2025-05-07,,1500.00,12,false
96,96,2026-02-28,,1500.00,6,true
97,97,2026-01-13,,1500.00,12,false
98,98,2025-01-31,,1500.00,6,false
99,99,2025-05-16,,3000.00,12,false
100,100,2025-01-19,,1500.00,6,false
101,1,2025-10-31,,1500.00,18,false
102,2,2025-04-20,,3000.00,12,true
103,3,2025-03-12,,1500.00,6,false
104,4,2025-12-01,,1500.00,12,true
105,5,2025-10-04,,1500.00,12,false
106,6,2025-11-29,,1500.00,12,false
107,7,2025-11-24,,1500.00,12,false
108,8,2025-04-13,,1500.00,6,false
